Year,YearEnd,State_Abbr,State,Value_Type,Value,Data_Value_Alt,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Sex,Income,Race/Ethnicity,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategoryId1,StratificationID1
2011,2011,MD,Maryland,Value,23.4,23.4,19.9,27.4,1373.0,,,,,Data not reported,,OWS,OWS1,Q036,VALUE,24,INC,INCNR
2011,2011,MD,Maryland,Value,25.9,25.9,24.4,27.6,6820.0,,,,,,Non-Hispanic White,OWS,OWS1,Q036,VALUE,24,RACE,RACEWHT
2011,2011,MD,Maryland,Value,31.2,31.2,26.4,36.5,740.0,,,,,"$25,000 - $34,999",,OWS,OWS1,Q036,VALUE,24,INC,INC2535
2011,2011,PA,Pennsylvania,Value,23.5,23.5,20.4,26.9,1118.0,,25 - 34,,,,,OWS,OWS1,Q036,VALUE,42,AGEYR,AGEYR2534
2011,2011,MD,Maryland,Value,24.4,24.4,22.4,26.4,3414.0,,,,,"$75,000 or greater",,OWS,OWS1,Q036,VALUE,24,INC,INC75PLUS
2011,2011,MD,Maryland,Value,35.0,35.0,28.8,41.8,529.0,,,,,"Less than $15,000",,OWS,OWS1,Q036,VALUE,24,INC,INCLESS15
2011,2011,MD,Maryland,Value,32.6,32.6,29.8,35.6,2514.0,,,High school graduate,,,,OWS,OWS1,Q036,VALUE,24,EDU,EDUHSGRAD
2011,2011,MD,Maryland,Value,31.9,31.9,29.0,34.9,1976.0,,45 - 54,,,,,OWS,OWS1,Q036,VALUE,24,AGEYR,AGEYR4554
2011,2011,MD,Maryland,Value,21.2,21.2,15.1,28.8,260.0,,,,,,Hispanic,OWS,OWS1,Q036,VALUE,24,RACE,RACEHIS
2011,2011,MD,Maryland,Value,32.8,32.8,30.0,35.7,2143.0,,55 - 64,,,,,OWS,OWS1,Q036,VALUE,24,AGEYR,AGEYR5564
2011,2011,MD,Maryland,Value,28.3,28.3,26.9,29.7,9450.0,Total,,,,,,OWS,OWS1,Q036,VALUE,24,OVR,OVERALL
2011,2011,PA,Pennsylvania,Value,3.2,3.2,1.2,8.6,108.0,,,,,,Asian,OWS,OWS1,Q036,VALUE,42,RACE,RACEASN
2011,2011,MD,Maryland,Value,31.0,31.0,26.7,35.6,1088.0,,,,,"$15,000 - $24,999",,OWS,OWS1,Q036,VALUE,24,INC,INC1525
2011,2011,MD,Maryland,Value,16.9,16.9,12.5,22.3,305.0,,18 - 24,,,,,OWS,OWS1,Q036,VALUE,24,AGEYR,AGEYR1824
2012,2012,AL,Alabama,Value,34.1,34.1,30.3,38.1,964.0,,35 - 44,,,,,OWS,OWS1,Q036,VALUE,1,AGEYR,AGEYR3544
2011,2011,MD,Maryland,Value,24.2,24.2,12.0,42.9,54.0,,,,,,Other,OWS,OWS1,Q036,VALUE,24,RACE,RACEOTH
2011,2011,MD,Maryland,Value,21.3,21.3,19.7,23.0,4019.0,,,College graduate,,,,OWS,OWS1,Q036,VALUE,24,EDU,EDUCOGRAD
2011,2011,MD,Maryland,Value,27.9,27.9,26.1,29.6,5754.0,,,,Female,,,OWS,OWS1,Q036,VALUE,24,SEX,FEMALE
2011,2011,MD,Maryland,Value,8.8,8.8,4.7,15.9,163.0,,,,,,Asian,OWS,OWS1,Q036,VALUE,24,RACE,RACEASN
2011,2011,MD,Maryland,Value,37.8,37.8,34.7,41.0,1867.0,,,,,,Non-Hispanic Black,OWS,OWS1,Q036,VALUE,24,RACE,RACEBLK
2011,2011,ME,Maine,Value,22.5,22.5,20.6,24.6,2570.0,,,,,"$75,000 or greater",,OWS,OWS1,Q036,VALUE,23,INC,INC75PLUS
2011,2011,ME,Maine,Value,20.2,20.2,18.8,21.6,4610.0,,,College graduate,,,,OWS,OWS1,Q036,VALUE,23,EDU,EDUCOGRAD
2011,2011,ME,Maine,Value,30.0,30.0,26.7,33.4,1397.0,,,,,"$25,000 - $34,999",,OWS,OWS1,Q036,VALUE,23,INC,INC2535
2011,2011,ME,Maine,Value,15.0,15.0,7.3,28.2,54.0,,,,,,Non-Hispanic Black,OWS,OWS1,Q036,VALUE,23,RACE,RACEBLK
2011,2011,ME,Maine,Value,32.4,32.4,30.2,34.7,2413.0,,45 - 54,,,,,OWS,OWS1,Q036,VALUE,23,AGEYR,AGEYR4554
2011,2011,ME,Maine,Value,28.4,28.4,26.5,30.4,3185.0,,,Some college or technical school,,,,OWS,OWS1,Q036,VALUE,23,EDU,EDUCOTEC
2011,2011,ME,Maine,Value,27.6,27.6,26.2,28.9,7537.0,,,,Female,,,OWS,OWS1,Q036,VALUE,23,SEX,FEMALE
2011,2011,ME,Maine,Value,28.8,28.8,25.5,32.4,900.0,,25 - 34,,,,,OWS,OWS1,Q036,VALUE,23,AGEYR,AGEYR2534
2011,2011,ME,Maine,Value,28.1,28.1,26.5,29.7,5106.0,,,,Male,,,OWS,OWS1,Q036,VALUE,23,SEX,MALE
2011,2011,ME,Maine,Value,29.9,29.9,20.2,41.9,132.0,,,,,,2 or more races,OWS,OWS1,Q036,VALUE,23,RACE,RACE2PLUS
2011,2011,ME,Maine,Value,33.7,33.7,31.0,36.5,2180.0,,,,,"$15,000 - $24,999",,OWS,OWS1,Q036,VALUE,23,INC,INC1525
2011,2011,ME,Maine,Value,30.3,30.3,19.7,43.4,123.0,,,,,,Hispanic,OWS,OWS1,Q036,VALUE,23,RACE,RACEHIS
2011,2011,ME,Maine,Value,25.8,25.8,23.4,28.3,1882.0,,,,,"$50,000 - $74,999",,OWS,OWS1,Q036,VALUE,23,INC,INC5075
2011,2011,ME,Maine,Value,28.9,28.9,26.2,31.8,1507.0,,35 - 44,,,,,OWS,OWS1,Q036,VALUE,23,AGEYR,AGEYR3544
2011,2011,ME,Maine,Value,32.7,32.7,30.7,34.7,3258.0,,55 - 64,,,,,OWS,OWS1,Q036,VALUE,23,AGEYR,AGEYR5564
